ligne;départ;arrivée
4;80;81
4;81;80
4;81;82
4;82;81
4;82;83
4;83;82
4;83;84
4;84;83
4;84;85
4;85;84
4;85;86
4;86;85
4;86;87
4;87;86
4;87;88
4;88;87
4;88;89
4;89;88
4;89;90
4;90;89
4;90;91
4;91;90
4;91;92
4;92;91
4;92;93
4;93;92
4;93;94
4;94;93
4;94;95
4;95;94
4;95;96
4;96;95
4;96;97
4;97;96
4;97;98
4;98;97
4;98;99
4;99;98
4;99;100
4;100;99
4;100;101
4;101;100
4;101;102
4;102;101
4;102;103
4;103;102
4;103;104
4;104;103
4;104;105
4;105;104
4;105;106
4;106;105
