226;8;Montgallet
227;8;Daumesnil
228;8;Michel Bizot
229;8;Porte Dorée
230;8;Porte de Charenton
231;8;Liberté
232;8;Charenton - Écoles
233;8;École vétérinaire de Maisons-Alfort
234;8;Maisons-Alfort - Stade
235;8;Maisons-Alfort - Les Juilliottes
236;8;Créteil - L'Échat
237;8;Créteil - Université
238;8;Créteil - Préfecture
239;8;Pointe du Lac
240;9;Pont de Sèvres
241;9;Billancourt
242;9;Marcel Sembat
243;9;Porte de Saint-Cloud
244;9;Exelmans
245;9;Michel-Ange - Molitor
246;9;Michel-Ange - Auteuil
247;9;Jasmin
248;9;Ranelagh
249;9;La Muette
250;9;Rue de la Pompe
251;9;Trocadéro
252;9;Iéna
253;9;Alma - Marceau
254;9;Franklin D. Roosevelt
255;9;Saint-Philippe du Roule
256;9;Miromesnil
257;9;Saint-Augustin
258;9;Chaussée d'Antin - La Fayette
259;9;Richelieu - Drouot
260;9;Grands Boulevards
261;9;Bonne-Nouvelle
262;9;Strasbourg - Saint-Denis
263;9;République
264;9;Oberkampf
265;9;Saint-Ambroise
266;9;Voltaire
267;9;Charonne
268;9;Rue des Boulets
269;9;Nation
270;9;Buzenval
271;9;Maraîchers
272;9;Porte de Montreuil
273;9;Robespierre
274;9;Croix de Chavaux
275;9;Mairie de Montreuil
276;10;Boulogne - Pont de Saint-Cloud
277;10;Boulogne - Jean Jaurès
278;10;Porte d'Auteuil
279;10;Michel-Ange - Molitor
280;10;Michel-Ange - Auteuil
281;10;Chardon-Lagache
282;10;Église d'Auteuil
283;10;Mirabeau
284;10;Javel - André Citroën
285;10;Charles Michels
286;10;Avenue Émile-Zola
287;10;La Motte-Picquet - Grenelle
288;10;Ségur
289;10;Duroc
290;10;Vaneau
291;10;Sèvres - Babylone
292;10;Mabillon
293;10;Odéon
294;10;Cluny - La Sorbonne
295;10;Maubert - Mutualité
296;10;Cardinal Lemoine
297;10;Jussieu
298;10;Gare d'Austerlitz
299;11;Châtelet
300;11;Hôtel de Ville
301;11;Rambuteau
302;11;Arts et Métiers
303;11;République
304;11;Goncourt
305;11;Belleville
306;11;Pyrénées
307;11;Jourdain
308;11;Place des Fêtes
309;11;Télégraphe
310;11;Porte des Lilas
311;11;Mairie des Lilas
312;12;Saint-Denis - Aubervilliers
313;12;Porte de la Chapelle
314;12;Marx Dormoy
315;12;Marcadet - Poissonniers
316;12;Jules Joffrin
317;12;Lamarck - Caulaincourt
318;12;Abbesses
319;12;Pigalle
320;12;Saint-Georges
321;12;Notre-Dame-de-Lorette
322;12;Trinité - d'Estienne d'Orves
323;12;Saint-Lazare
324;12;Madeleine
325;12;Concorde
326;12;Assemblée nationale
327;12;Solférino
328;12;Rue du Bac
329;12;Sèvres - Babylone
330;12;Rennes
331;12;Notre-Dame-des-Champs
332;12;Montparnasse - Bienvenüe
333;12;Falguière
334;12;Pasteur
335;12;Volontaires
336;12;Vaugirard
337;12;Convention
338;12;Porte de Versailles
339;12;Corentin Celton
340;12;Mairie d'Issy
341;13;Asnières - Gennevilliers
342;13;Les Agnettes
343;13;Gabriel Péri
344;13;Mairie de Clichy
345;13;Porte de Clichy
346;13;Brochant
347;13;Saint-Denis - Université
348;13;Basilique de Saint-Denis
349;13;Saint-Denis - Porte de Paris
350;13;Carrefour Pleyel
351;13;Mairie de Saint-Ouen
352;13;Garibaldi
353;13;Porte de Saint-Ouen
354;13;Guy Môquet
355;13;La Fourche
356;13;Place de Clichy
357;13;Liège
358;13;Saint-Lazare
359;13;Miromesnil
360;13;Champs-Élysées - Clemenceau
361;13;Invalides
362;13;Varenne
363;13;Saint-François-Xavier
364;13;Duroc
365;13;Montparnasse - Bienvenüe
366;13;Gaîté
367;13;Pernety
368;13;Plaisance
369;13;Porte de Vanves
370;13;Malakoff - Plateau de Vanves
371;13;Malakoff – Rue Étienne-Dolet
372;13;Châtillon - Montrouge
373;14;Saint-Lazare
374;14;Madeleine
375;14;Pyramides
376;14;Châtelet
377;14;Gare de Lyon
378;14;Bercy
379;14;Cour Saint-Émilion
380;14;Bibliothèque François-Mitterrand
381;14;Olympiades
